"PacketFamily","RelativePath","FileName","SizeBytes","LastWriteTime","SHA256","Classification","HashStatus","Notes"
"CHUNKED_ACCEPTANCE_GROWTH_REVIEW_20260606","CHUNKED_ACCEPTANCE_GROWTH_REVIEW_20260606\MULE_RECEIPT__CHUNKED_ACCEPTANCE_GROWTH_REVIEW_DUAL_COMMAND_CENTER_AND_PROTOCOL_20260606.md","MULE_RECEIPT__CHUNKED_ACCEPTANCE_GROWTH_REVIEW_DUAL_COMMAND_CENTER_AND_PROTOCOL_20260606.md","6530","2026-06-06T07:41:23.9355190Z","3A7EA21EC6CD7B3EA5A8D50E2D0145F4336967ACB324E343E45AB97EC9FA2A18","RECEIPT","HASHED_LOCAL","Computed from local file on disk."
"DEEP_SCAN_WASH_DRY_RUN_20260606","DEEP_SCAN_WASH_DRY_RUN_20260606\DEEP_SCAN_WASH_DRY_RUN_REPORT_20260606.md","DEEP_SCAN_WASH_DRY_RUN_REPORT_20260606.md","5481","2026-06-06T07:58:00.6380426Z","3118580A4CC78CFAA3AFAEF1FE831E391DE8A834DE56F6DFD0A74F8F7C5E85CA","CLEAN_OUTPUT","HASHED_LOCAL","Computed from local file on disk."
"DEEP_SCAN_WASH_DRY_RUN_20260606","DEEP_SCAN_WASH_DRY_RUN_20260606\MULE_RECEIPT__DEEP_SCAN_WASH_DRY_RUN_20260606.md","MULE_RECEIPT__DEEP_SCAN_WASH_DRY_RUN_20260606.md","2097","2026-06-06T07:58:00.6380426Z","3227A4CF1F2CB0068938D1095332DC6C2C43610092ABD7F6B1420D501CC5F76D","RECEIPT","HASHED_LOCAL","Computed from local file on disk."
"DEEP_SCAN_WASH_DRY_RUN_20260606","DEEP_SCAN_WASH_DRY_RUN_20260606\WASH_CLASS_COUNTS.csv","WASH_CLASS_COUNTS.csv","353","2026-06-06T07:51:01.6155911Z","9F88E032C9F3833419CBDBB94CA5CF0A7E3A35B2E730CA6C985ACA26210BD0AA","DRY_WASH_ARTIFACT","HASHED_LOCAL","Computed from local file on disk."
"DEEP_SCAN_WASH_DRY_RUN_20260606","DEEP_SCAN_WASH_DRY_RUN_20260606\WASH_EXTENSION_COUNTS.csv","WASH_EXTENSION_COUNTS.csv","1127","2026-06-06T07:51:01.3661629Z","ECF1BD1673B98FF89307E1BBCA9560B1045DD6EAA1005C3791A0480513FA3A0F","DRY_WASH_ARTIFACT","HASHED_LOCAL","Computed from local file on disk."
"DEEP_SCAN_WASH_DRY_RUN_20260606","DEEP_SCAN_WASH_DRY_RUN_20260606\WASH_FILE_INVENTORY.csv","WASH_FILE_INVENTORY.csv","9232979","2026-06-06T07:51:00.7491562Z","0BC402B61DDC05EA269BCA12FDFC644C9F668021511D83C582318E90485563E3","DRY_WASH_ARTIFACT","HASHED_LOCAL","Computed from local file on disk."
"DEEP_SCAN_WASH_DRY_RUN_20260606","DEEP_SCAN_WASH_DRY_RUN_20260606\WASH_FILENAME_SIGNAL_COUNTS.csv","WASH_FILENAME_SIGNAL_COUNTS.csv","386","2026-06-06T07:55:42.7735280Z","DF84E353F39B4ED0D455DA556EA4E9FC333868EF974EA4CA0B7AFC415F0ECAD4","DRY_WASH_ARTIFACT","HASHED_LOCAL","Computed from local file on disk."
"DEEP_SCAN_WASH_DRY_RUN_20260606","DEEP_SCAN_WASH_DRY_RUN_20260606\WASH_FILENAME_SIGNAL_HITS_SAMPLE.csv","WASH_FILENAME_SIGNAL_HITS_SAMPLE.csv","382530","2026-06-06T07:55:42.7745213Z","A33BE483D3E0F3AC7BB7423984A439DE5D0C21A9A53775739287235DDA56F6B6","DRY_WASH_ARTIFACT","HASHED_LOCAL","Computed from local file on disk."
"DEEP_SCAN_WASH_DRY_RUN_20260606","DEEP_SCAN_WASH_DRY_RUN_20260606\WASH_INVENTORY_SUMMARY.json","WASH_INVENTORY_SUMMARY.json","288","2026-06-06T07:51:02.1995721Z","31A824F022175307F3C3A9C158138D6BE87471FBC432F61C723FBB36A1EE4E9F","DRY_WASH_ARTIFACT","HASHED_LOCAL","Computed from local file on disk."
"DEEP_SCAN_WASH_DRY_RUN_20260606","DEEP_SCAN_WASH_DRY_RUN_20260606\WASH_LARGEST_100_FILES.csv","WASH_LARGEST_100_FILES.csv","42832","2026-06-06T07:51:01.8155640Z","8898D17FCACEA11361BBE93EBDE9BB34A072F7F0339737FBCAA387E8A72CC430","DRY_WASH_ARTIFACT","HASHED_LOCAL","Computed from local file on disk."
"DEEP_SCAN_WASH_DRY_RUN_20260606","DEEP_SCAN_WASH_DRY_RUN_20260606\WASH_ROOT_FILES.csv","WASH_ROOT_FILES.csv","205","2026-06-06T07:51:01.9489478Z","F5980D0D1F519111238D94DEF1A42C624DD52F404E8158E1B1267181CAD13023","DRY_WASH_ARTIFACT","HASHED_LOCAL","Computed from local file on disk."
"DEEP_SCAN_WASH_DRY_RUN_20260606","DEEP_SCAN_WASH_DRY_RUN_20260606\WASH_SAMPLE_REDACTION_NOTE.json","WASH_SAMPLE_REDACTION_NOTE.json","239","2026-06-06T07:56:19.2576023Z","FC86CF27336DFC1DF9AC1C1C6F884D8554ED32C0F9556FD49FEB7D4A0DCD718D","DRY_WASH_ARTIFACT","HASHED_LOCAL","Computed from local file on disk."
